*** Создаем сервис ***
### conv2_relu ###
*** Готово! ***
*** Начинаем обучение ***
### end ###
*** Создаем сервис ***
### conv3_relu ###
*** Готово! ***
*** Начинаем обучение сети ***
{u'f1': 0.5128245972525676, u'train_loss': 0.5602359175682068, u'mcll': 0.5434968935447494, u'recall': 0.5138888883603395, u'iteration': 888.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.3852188289165497, u'mcll': 0.5434968935447494, u'recall': 0.5138888883603395, u'iteration': 903.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.27453917264938354, u'mcll': 0.5434968935447494, u'recall': 0.5138888883603395, u'iteration': 919.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.821664035320282, u'mcll': 0.5434968935447494, u'recall': 0.5138888883603395, u'iteration': 934.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.2824963629245758, u'mcll': 0.5434968935447494, u'recall': 0.5138888883603395, u'iteration': 949.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.1767517328262329, u'mcll': 0.5434968935447494, u'recall': 0.5138888883603395, u'iteration': 964.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.09952175617218018, u'mcll': 0.5434968935447494, u'recall': 0.5138888883603395, u'iteration': 979.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.3313269317150116, u'mcll': 0.5434968935447494, u'recall': 0.5138888883603395, u'iteration': 995.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.16469420492649078, u'mcll': 0.5134520485731787, u'recall': 0.5138888883603395, u'iteration': 1007.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.5334786772727966, u'mcll': 0.5134520485731787, u'recall': 0.5138888883603395, u'iteration': 1022.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.4813475012779236, u'mcll': 0.5134520485731787, u'recall': 0.5138888883603395, u'iteration': 1038.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.3044251501560211, u'mcll': 0.5134520485731787, u'recall': 0.5138888883603395, u'iteration': 1053.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.5254441499710083, u'mcll': 0.5134520485731787, u'recall': 0.5138888883603395, u'iteration': 1068.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.34828951954841614, u'mcll': 0.5134520485731787, u'recall': 0.5138888883603395, u'iteration': 1083.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.23629695177078247, u'mcll': 0.5134520485731787, u'recall': 0.5138888883603395, u'iteration': 1098.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.27918127179145813, u'mcll': 0.5134520485731787, u'recall': 0.5138888883603395, u'iteration': 1113.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.3767302632331848, u'mcll': 0.5134520485731787, u'recall': 0.5138888883603395, u'iteration': 1129.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.19962404668331146, u'mcll': 0.5134520485731787, u'recall': 0.5138888883603395, u'iteration': 1144.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.25516873598098755, u'mcll': 0.5134520485731787, u'recall': 0.5138888883603395, u'iteration': 1159.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.6237187385559082, u'mcll': 0.5134520485731787, u'recall': 0.5138888883603395, u'iteration': 1174.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.13427603244781494, u'mcll': 0.5134520485731787, u'recall': 0.5138888883603395, u'iteration': 1189.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.16531068086624146, u'mcll': 0.5134520485731787, u'recall': 0.5138888883603395, u'iteration': 1204.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.4876135587692261, u'mcll': 0.5134520485731787, u'recall': 0.5138888883603395, u'iteration': 1219.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.39166712760925293, u'mcll': 0.5134520485731787, u'recall': 0.5138888883603395, u'iteration': 1234.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.6103444695472717, u'mcll': 0.5134520485731787, u'recall': 0.5138888883603395, u'iteration': 1250.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.4225791394710541, u'mcll': 0.5134520485731787, u'recall': 0.5138888883603395, u'iteration': 1265.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.3890590965747833, u'mcll': 0.5134520485731787, u'recall': 0.5138888883603395, u'iteration': 1281.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.27585116028785706, u'mcll': 0.5134520485731787, u'recall': 0.5138888883603395, u'iteration': 1296.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.7700172662734985, u'mcll': 0.5134520485731787, u'recall': 0.5138888883603395, u'iteration': 1311.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.2715512216091156, u'mcll': 0.5134520485731787, u'recall': 0.5138888883603395, u'iteration': 1326.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.13682162761688232, u'mcll': 0.5134520485731787, u'recall': 0.5138888883603395, u'iteration': 1341.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.08259862661361694, u'mcll': 0.5134520485731787, u'recall': 0.5138888883603395, u'iteration': 1356.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.42199644446372986, u'mcll': 0.5134520485731787, u'recall': 0.5138888883603395, u'iteration': 1371.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.39003098011016846, u'mcll': 0.5134520485731787, u'recall': 0.5138888883603395, u'iteration': 1386.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.18943887948989868, u'mcll': 0.5134520485731787, u'recall': 0.5138888883603395, u'iteration': 1401.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.48934680223464966, u'mcll': 0.5134520485731787, u'recall': 0.5138888883603395, u'iteration': 1416.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.32176434993743896, u'mcll': 0.5134520485731787, u'recall': 0.5138888883603395, u'iteration': 1431.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.15876683592796326, u'mcll': 0.5134520485731787, u'recall': 0.5138888883603395, u'iteration': 1446.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.08230137825012207, u'mcll': 0.5134520485731787, u'recall': 0.5138888883603395, u'iteration': 1461.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.3278047442436218, u'mcll': 0.5134520485731787, u'recall': 0.5138888883603395, u'iteration': 1476.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.18908879160881042, u'mcll': 0.5134520485731787, u'recall': 0.5138888883603395, u'iteration': 1491.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.7411764697287198, u'train_loss': 0.2129078507423401, u'mcll': 0.48088355588247855, u'recall': 0.7411764697287198, u'iteration': 1504.0, u'precision': 0.7411764697287198, u'accp': 0.8181818181818182}
{u'f1': 0.7411764697287198, u'train_loss': 0.1035442054271698, u'mcll': 0.48088355588247855, u'recall': 0.7411764697287198, u'iteration': 1519.0, u'precision': 0.7411764697287198, u'accp': 0.8181818181818182}
{u'f1': 0.7411764697287198, u'train_loss': 0.33130788803100586, u'mcll': 0.48088355588247855, u'recall': 0.7411764697287198, u'iteration': 1535.0, u'precision': 0.7411764697287198, u'accp': 0.8181818181818182}
{u'f1': 0.7411764697287198, u'train_loss': 0.19334100186824799, u'mcll': 0.48088355588247855, u'recall': 0.7411764697287198, u'iteration': 1550.0, u'precision': 0.7411764697287198, u'accp': 0.8181818181818182}
{u'f1': 0.7411764697287198, u'train_loss': 0.10353534668684006, u'mcll': 0.48088355588247855, u'recall': 0.7411764697287198, u'iteration': 1565.0, u'precision': 0.7411764697287198, u'accp': 0.8181818181818182}
{u'f1': 0.7411764697287198, u'train_loss': 0.14764046669006348, u'mcll': 0.48088355588247855, u'recall': 0.7411764697287198, u'iteration': 1581.0, u'precision': 0.7411764697287198, u'accp': 0.8181818181818182}
{u'f1': 0.7411764697287198, u'train_loss': 0.22576718032360077, u'mcll': 0.48088355588247855, u'recall': 0.7411764697287198, u'iteration': 1597.0, u'precision': 0.7411764697287198, u'accp': 0.8181818181818182}
{u'f1': 0.7411764697287198, u'train_loss': 0.2963689863681793, u'mcll': 0.48088355588247855, u'recall': 0.7411764697287198, u'iteration': 1612.0, u'precision': 0.7411764697287198, u'accp': 0.8181818181818182}
{u'f1': 0.7411764697287198, u'train_loss': 0.5573568940162659, u'mcll': 0.48088355588247855, u'recall': 0.7411764697287198, u'iteration': 1627.0, u'precision': 0.7411764697287198, u'accp': 0.8181818181818182}
